GEOID,ID,tot_roofs,BG_RT_pct
250235001011,1848,876,0.9909502262443439
250235001011,NA,8,0.00904977375565611
250235001012,1848,433,1
250235001013,1849,736,1
250235001031,1851,255,0.6455696202531646
250235001031,1852,140,0.35443037974683544
250235001032,1851,3,0.006880733944954129
250235001032,1852,433,0.9931192660550459
250235001041,1849,611,0.9078751857355126
250235001041,1850,59,0.08766716196136701
250235001041,1853,3,0.004457652303120356
250235001042,1850,425,0.9259259259259259
250235001042,1851,34,0.07407407407407407
250235001043,1851,439,1
250235001044,1850,663,1
250235011011,1859,663,0.9377652050919377
250235011011,1860,44,0.06223479490806223
250235011012,1858,45,0.06016042780748663
250235011012,1859,280,0.37433155080213903
250235011012,1860,364,0.48663101604278075
250235011012,1861,59,0.07887700534759358
250235011013,1858,71,0.17974683544303796
250235011013,1860,43,0.10886075949367088
250235011013,1861,281,0.7113924050632912
250235011021,1857,32,0.06374501992031872
250235011021,1861,470,0.9362549800796812
250235011022,1853,169,0.1679920477137177
250235011022,1855,28,0.027833001988071572
250235011022,1857,605,0.6013916500994035
250235011022,1858,187,0.18588469184890655
250235011022,1861,17,0.016898608349900597
250235011023,1853,920,1
250235011024,1853,70,0.08264462809917356
250235011024,1854,85,0.10035419126328217
250235011024,1855,7,0.008264462809917356
250235011024,1856,375,0.4427390791027155
250235011024,1861,252,0.2975206611570248
250235011024,1862,58,0.06847697756788666
250235012011,1860,169,0.26283048211508553
250235012011,1868,474,0.7371695178849145
250235012012,1856,4,0.0036363636363636364
250235012012,1862,995,0.9045454545454545
250235012012,1863,101,0.09181818181818181
250235012031,1860,142,0.3120879120879121
250235012031,1868,313,0.6879120879120879
250235012032,1863,426,0.7244897959183674
250235012032,1867,162,0.2755102040816326
250235012041,1863,289,0.20323488045007032
250235012041,1864,441,0.310126582278481
250235012041,1865,54,0.0379746835443038
250235012041,1866,119,0.08368495077355836
250235012041,1867,519,0.3649789029535865
250235012042,1862,208,0.6582278481012658
250235012042,1863,97,0.3069620253164557
250235012042,1864,11,0.03481012658227848
250235012043,1864,18,1
250235021011,1887,49,0.06027060270602706
250235021011,1888,440,0.5412054120541205
250235021011,1890,324,0.3985239852398524
250235021012,1885,140,0.3233256351039261
250235021012,1888,293,0.6766743648960739
250235021013,1884,108,0.18243243243243243
250235021013,1885,484,0.8175675675675675
250235021014,1884,379,0.8459821428571429
250235021014,1885,69,0.15401785714285715
250235021021,1887,743,1
250235021022,1886,685,0.8638083228247163
250235021022,1887,108,0.13619167717528374
250235021023,1886,311,0.6359918200408998
250235021023,1887,178,0.36400817995910023
250235022001,1890,109,0.2
250235022001,1891,81,0.14862385321100918
250235022001,1892,355,0.6513761467889908
250235022002,1889,451,0.6651917404129793
250235022002,1890,227,0.33480825958702065
250235022003,1883,1101,0.9990925589836661
250235022003,1891,1,9.074410163339383e-4
250235022004,1889,413,0.9407744874715261
250235022004,1891,26,0.05922551252847381
250235031011,1894,771,0.7907692307692308
250235031011,1899,120,0.12307692307692308
250235031011,1900,45,0.046153846153846156
250235031011,1901,39,0.04
250235031012,1894,242,0.3283582089552239
250235031012,1895,495,0.6716417910447762
250235031013,1893,735,1
250235031014,1893,579,0.8514705882352941
250235031014,1894,101,0.14852941176470588
250235031021,1894,16,0.025157232704402517
250235031021,1895,573,0.9009433962264151
250235031021,1898,18,0.02830188679245283
250235031021,1899,29,0.04559748427672956
250235031022,1893,25,0.030193236714975844
250235031022,1896,745,0.8997584541062802
250235031022,1897,58,0.07004830917874397
250235031023,1896,174,0.424390243902439
250235031023,1897,236,0.5756097560975609
250235031024,1897,1,0.002232142857142857
250235031024,1898,447,0.9977678571428571
250235031025,1897,1008,1
250235041011,1906,704,0.5881370091896407
250235041011,1907,493,0.4118629908103592
250235041012,1904,228,0.3352941176470588
250235041012,1905,327,0.4808823529411765
250235041012,1906,125,0.18382352941176472
250235041013,1902,40,0.0517464424320828
250235041013,1903,70,0.09055627425614489
250235041013,1904,160,0.2069857697283312
250235041013,1905,417,0.5394566623544631
250235041013,1906,86,0.111254851228978
250235041021,1907,802,1
250235041022,1907,236,0.47105788423153694
250235041022,1909,265,0.5289421157684631
250235041023,1908,622,0.6996625421822272
250235041023,1909,267,0.30033745781777277
250235041024,1908,51,0.09807692307692308
250235041024,1909,469,0.9019230769230769
250235051021,1911,544,0.9411764705882353
250235051021,1913,34,0.058823529411764705
250235051022,1911,86,0.11096774193548387
250235051022,1913,689,0.8890322580645161
250235051023,1912,700,1
250235051024,1912,208,0.5488126649076517
250235051024,1915,171,0.45118733509234826
250235051031,1910,895,1
250235051032,1911,410,0.6655844155844156
250235051032,1914,206,0.3344155844155844
250235051041,1914,471,0.9671457905544147
250235051041,1916,16,0.03285420944558522
250235051042,1914,663,1
250235051043,1914,1103,1
250235052011,1917,790,1
250235052012,1915,401,0.4252386002120891
250235052012,1916,542,0.574761399787911
250235052021,1913,164,0.4530386740331492
250235052021,1915,198,0.5469613259668509
250235052022,1913,335,0.2936021034180543
250235052022,1914,103,0.09027169149868536
250235052022,1915,188,0.16476774758983348
250235052022,1916,515,0.45135845749342685
250235052023,1916,692,1
250235061021,2636,478,1
250235061022,2636,610,1
250235061023,2636,483,1
250235061024,2638,188,0.6619718309859155
250235061024,2639,94,0.33098591549295775
250235061024,2641,2,0.007042253521126761
250235061025,2638,263,0.8976109215017065
250235061025,2642,30,0.10238907849829351
250235061026,2636,14,0.05761316872427984
250235061026,2638,215,0.8847736625514403
250235061026,2639,14,0.05761316872427984
250235061031,2637,185,0.3135593220338983
250235061031,2639,405,0.6864406779661016
250235061032,2639,765,1
