TAZ,population,population_altrnd
446,342,343
447,2015,2015
448,2270,2270
449,1903,1903
450,3420,3420
451,2692,2692
452,2496,2496
453,1532,1532
454,3183,3183
455,391,391
456,493,493
457,2849,2849
458,984,984
459,1989,1989
460,2303,2303
461,2903,2903
462,1723,1723
463,1955,1955
464,393,393
465,0,0
466,0,0
467,278,278
468,1359,1359
469,1618,1618
470,1214,1214
471,2474,2474
472,2123,2123
473,13,13
474,3205,3205
475,2161,2161
476,2181,2181
477,2569,2569
478,3668,3668
479,2049,2049
480,1447,1447
481,510,510
482,2045,2045
483,4128,4128
484,855,855
485,117,117
486,370,370
487,1934,1934
488,2801,2801
489,2276,2276
490,3456,3456
491,4293,4293
492,1957,1957
493,2333,2333
494,1863,1863
495,2671,2671
496,3350,3350
497,2176,2176
498,2766,2766
499,980,980
500,1264,1264
501,2445,2445
502,1010,1010
503,905,905
504,338,338
505,1512,1512
506,4144,4144
507,2878,2878
508,3708,3708
509,2275,2275
510,1763,1763
511,2882,2882
512,2111,2111
513,2628,2628
514,2214,2214
515,3878,3878
516,3435,3435
517,1236,1236
518,2493,2493
519,2257,2257
520,1106,1106
521,1857,1857
522,1836,1836
523,1965,1965
524,2971,2971
525,3888,3888
526,2865,2865
527,12,12
528,0,0
529,2396,2396
530,1114,1114
531,1286,1286
532,2398,2398
533,3121,3121
534,2113,2113
535,2709,2709
536,2882,2882
537,886,886
538,3202,3202
539,1432,1432
540,1289,1289
541,856,856
542,2158,2158
543,2611,2611
544,1876,1876
545,2371,2371
546,2692,2692
547,2078,2078
548,1012,1012
549,2457,2457
550,3435,3435
551,590,590
552,1979,1979
553,2658,2658
554,1359,1359
555,1949,1949
556,2331,2331
557,1786,1786
558,1540,1540
559,1096,1096
560,181,181
561,1632,1632
562,1772,1772
563,0,0
564,0,0
565,517,517
566,3769,3769
567,2678,2678
568,2581,2581
569,2594,2594
570,3021,3021
571,3559,3559
572,1701,1701
573,2065,2065
574,2307,2307
575,2890,2890
576,2232,2232
577,2358,2358
578,1589,1589
579,0,0
580,286,286
581,182,182
582,668,668
583,1009,1009
584,2924,2924
585,1774,1774
586,1861,1861
587,1883,1883
588,1935,1935
589,2370,2370
590,1512,1512
591,1334,1334
592,0,0
593,0,0
594,0,0
595,0,0
596,1210,1210
597,1887,1887
598,1879,1879
599,2119,2119
600,3339,3339
601,2244,2244
602,2341,2341
603,923,923
604,281,281
605,2071,2071
606,2162,2162
607,3117,3117
608,740,740
609,201,201
610,2173,2173
611,1929,1929
612,1585,1585
613,3085,3085
614,2947,2947
615,3387,3387
616,2012,2012
617,1302,1302
618,1783,1783
619,1629,1629
620,2697,2697
621,2821,2821
622,2281,2281
623,1990,1990
624,1881,1881
625,1654,1654
626,247,247
627,208,208
628,250,250
629,884,884
630,674,674
631,571,571
632,1642,1642
633,172,172
634,952,952
635,410,410
636,245,245
637,430,430
638,895,895
639,0,0
640,17,17
641,382,382
642,611,611
643,416,416
644,3631,3631
645,0,0
646,1737,1737
647,1369,1369
648,1104,1104
649,1274,1274
650,770,770
651,2248,2248
652,0,0
653,3039,3039
654,251,251
655,120,120
656,939,939
657,102,102
658,431,431
659,1665,1665
660,826,826
661,878,878
662,1548,1548
663,1281,1281
664,214,214
665,1367,1367
666,2563,2563
667,1966,1966
668,860,860
669,1110,1110
670,1617,1617
671,992,992
672,1597,1597
673,819,819
674,2077,2077
675,1786,1786
676,1311,1311
677,669,669
678,1598,1598
679,195,195
680,1036,1036
681,825,825
682,2088,2088
683,3295,3295
684,1692,1692
685,166,166
686,388,388
687,355,355
688,5,5
689,24,24
690,864,864
691,1460,1460
692,0,0
693,150,150
694,2024,2024
695,935,935
696,726,726
697,197,197
698,1899,1899
699,749,749
700,1146,1146
701,582,582
702,1195,1195
703,2071,2071
704,1262,1262
705,1751,1751
706,1447,1447
707,1798,1798
708,1095,1095
709,958,958
710,1138,1138
711,141,141
712,193,193
713,1089,1089
714,547,547
715,2345,2345
716,35,35
717,1487,1487
718,1746,1746
719,1854,1854
720,1954,1954
721,1119,1119
722,3142,3142
723,0,0
724,0,0
725,328,328
726,672,672
727,568,568
728,0,0
729,2138,2138
730,4410,4410
731,3032,3032
732,2180,2180
733,3485,3485
734,1314,1314
735,3540,3540
736,1497,1497
737,3804,3804
738,2419,2419
739,2065,2065
740,1905,1905
741,3122,3122
742,1917,1917
743,1029,1029
744,1767,1767
745,1339,1339
746,1668,1668
747,1171,1171
748,2358,2358
749,1447,1447
750,2135,2135
751,1497,1497
752,1230,1230
753,1191,1191
754,1032,1032
755,4035,4035
756,3410,3410
757,344,344
758,896,896
759,3073,3073
760,1439,1439
761,1705,1705
762,1242,1242
763,1980,1980
764,1953,1953
765,538,538
766,4341,4341
767,2263,2263
768,2875,2875
769,1245,1245
770,3598,3598
771,1769,1769
772,1015,1015
773,2959,2959
774,3638,3638
775,2631,2631
776,2055,2055
777,3874,3874
778,2585,2585
779,3075,3075
780,2706,2706
781,2395,2395
782,2884,2884
783,1333,1333
784,2998,2998
785,2037,2037
