TAZ,population,population_altrnd
1781,1800,1800
1782,3472,3472
1783,3531,3531
1784,2111,2111
1785,898,898
1786,2138,2138
1787,2470,2470
1788,1519,1519
1789,1933,1933
1790,2383,2383
1791,1035,1035
1792,7,7
1793,0,0
1794,2,2
1795,2978,2978
1796,857,857
1797,2178,2178
1798,0,0
1799,181,181
1800,874,874
1801,503,503
1802,1143,1143
1803,1882,1882
1804,3172,3172
1805,2220,2220
1806,1914,1914
1807,2637,2637
1808,77,77
1809,1240,1240
1810,2067,2067
1811,2929,2929
1812,2599,2599
1813,4719,4719
1814,1550,1550
1815,1965,1965
1816,1887,1887
1817,1997,1997
1818,2238,2238
1819,1461,1461
1820,1377,1377
1821,1575,1575
1822,2280,2280
1823,2757,2757
1824,1954,1954
1825,1133,1133
1826,2303,2303
1827,2155,2155
1828,1593,1593
1829,1037,1037
1830,115,115
1831,1279,1279
1832,3341,3341
1833,1027,1027
1834,703,703
1835,3404,3404
1836,1492,1492
1837,2258,2258
1838,1934,1934
1839,1256,1256
1840,489,489
1841,0,0
1842,495,495
1843,1620,1620
1844,2740,2740
1845,1559,1559
1846,1902,1902
1847,377,377
1848,2321,2321
1849,2481,2481
1850,2396,2396
1851,1468,1468
1852,1626,1626
1853,2765,2765
1854,366,366
1855,36,36
1856,1441,1441
1857,1516,1516
1858,421,421
1859,1669,1669
1860,1403,1403
1861,2225,2225
1862,2762,2762
1863,2254,2254
1864,1942,1942
1865,121,121
1866,78,78
1867,1496,1496
1868,1659,1659
1869,2755,2755
1870,1585,1585
1871,1601,1601
1872,1598,1598
1873,2404,2404
1874,1256,1256
1875,911,911
1876,1634,1634
1877,2379,2379
1878,1388,1388
1879,1952,1952
1880,1271,1271
1881,1236,1236
1882,1528,1528
1883,2054,2054
1884,1174,1174
1885,1994,1994
1886,2923,2923
1887,2770,2770
1888,2184,2184
1889,2116,2116
1890,1055,1055
1891,327,327
1892,888,888
1893,3185,3185
1894,2605,2605
1895,2358,2358
1896,1791,1791
1897,2597,2597
1898,1035,1035
1899,258,258
1900,19,19
1901,22,22
1902,133,133
1903,65,65
1904,602,602
1905,1756,1756
1906,1778,1779
1907,2969,2969
1908,1154,1154
1909,2031,2031
1910,1338,1338
1911,2143,2143
1912,1877,1877
1913,2409,2409
1914,4491,4491
1915,2078,2078
1916,3313,3313
1917,477,477
1918,2366,2366
1919,2770,2770
1920,2353,2353
1921,2540,2540
1922,1977,1977
1923,2459,2459
1924,1722,1722
1925,2575,2575
1926,2016,2016
1927,2541,2541
1928,979,979
1929,1705,1705
1930,2730,2730
1931,168,168
1932,2459,2459
1933,496,496
1934,2068,2068
1935,1357,1357
1936,2278,2278
1937,1252,1252
1938,2065,2065
1939,1035,1035
1940,2469,2469
1941,2242,2242
1942,2525,2525
1943,1298,1298
1944,2098,2098
1945,2696,2696
1946,2316,2316
1947,1890,1890
1948,2037,2037
1949,580,580
1950,1347,1347
1951,1547,1547
1952,1646,1646
1953,981,981
1954,1360,1360
1955,941,941
1956,1708,1708
1957,1731,1731
1958,715,715
1959,1054,1054
1960,2245,2245
1961,921,921
1962,1733,1733
1963,2356,2356
1964,659,659
1965,527,527
1966,821,821
1967,2485,2485
1968,15,15
1969,2094,2094
1970,1446,1446
1971,456,456
1972,2155,2155
1973,2668,2668
1974,1952,1952
1975,697,697
1976,1586,1586
1977,4066,4066
1978,2393,2393
1979,1739,1739
1980,2843,2843
1981,999,999
1982,1937,1937
1983,761,761
1984,1790,1790
1985,2256,2256
1986,720,720
1987,1135,1135
1988,2707,2707
1989,2446,2446
1990,1294,1294
1991,993,993
1992,2942,2942
1993,1603,1603
1994,930,930
1995,2031,2031
1996,1771,1771
1997,2045,2045
1998,3143,3143
1999,0,0
2000,84,84
2001,2750,2750
2002,3100,3100
2003,4317,4317
2004,2896,2896
2005,2617,2617
2006,3093,3093
2007,380,380
2008,2822,2822
2009,3137,3137
2010,3966,3966
2011,4671,4671
2012,1803,1803
2013,3858,3858
2014,3810,3810
2015,2571,2571
2016,1723,1723
2017,788,788
2018,11,11
2019,1864,1864
2020,3641,3641
2021,3685,3685
2022,3124,3124
2023,4231,4231
2024,1364,1364
2025,2518,2518
2026,2365,2365
2027,993,993
2028,1497,1497
2029,2094,2094
2030,1559,1559
2031,1131,1131
2032,1781,1781
2033,2052,2052
2034,2571,2571
2035,979,979
2036,2230,2230
2037,1442,1442
2038,652,652
2039,623,623
2040,935,935
2041,2606,2606
2042,1112,1112
2043,3219,3219
2044,2254,2254
2045,1534,1534
2046,3070,3070
2047,2830,2830
2048,1054,1054
2049,1005,1005
2050,2311,2311
2051,2313,2313
2052,2320,2320
2053,3420,3420
2054,1078,1078
2055,1489,1489
2056,1287,1287
2057,1358,1358
2058,2355,2355
2059,1845,1845
2060,1867,1867
2061,2287,2287
2062,601,601
2063,3740,3740
2064,3487,3487
2065,2048,2048
2066,3520,3520
2067,1210,1210
2068,3701,3701
2069,1354,1354
2070,84,84
2071,3690,3690
2072,1743,1743
2073,1442,1442
2074,3225,3225
2075,4333,4333
2076,2667,2667
2077,899,899
2078,2411,2411
2079,2952,2952
2080,1860,1860
2081,3260,3260
2082,2350,2350
2083,1830,1830
2084,1729,1729
2085,3306,3306
2086,2059,2059
2087,487,487
2088,2833,2833
2089,2334,2334
2090,2384,2384
2091,2579,2579
2092,1696,1696
2093,3411,3411
2094,2007,2007
2095,1868,1868
2096,2686,2686
2097,2166,2166
2098,2051,2051
2099,1384,1384
2100,3547,3547
2101,2339,2339
2102,1928,1928
2103,2987,2987
2104,2587,2587
2105,1678,1678
2106,1000,1000
2107,1774,1774
2108,1350,1350
2109,1020,1020
2110,3013,3013
2111,2204,2204
2112,1766,1766
2113,3616,3616
2114,1613,1613
2115,1488,1488
2116,1561,1561
2117,3799,3799
2118,892,892
2119,967,967
2120,1688,1688
2121,1955,1955
2122,3920,3920
2123,2974,2974
2124,2927,2927
2125,2836,2836
2126,2248,2248
2127,2208,2208
2128,2213,2213
2129,1624,1624
2130,49,49
2131,304,304
2132,243,243
2133,677,677
2134,159,159
2135,2201,2201
2136,1447,1447
2137,2253,2253
2138,3247,3247
2139,2887,2887
2140,2370,2370
2141,3582,3582
2142,1140,1140
2143,1257,1257
2144,1178,1178
2145,2793,2793
2146,1704,1704
2147,1836,1836
2148,2843,2843
2149,2655,2655
2150,1905,1905
2151,1988,1988
2152,2758,2758
2153,1639,1639
2154,1114,1114
2155,1277,1277
2156,2173,2173
2157,3357,3357
2158,1700,1700
2159,2288,2288
2160,2977,2977
2161,3626,3626
2162,702,702
2163,1136,1136
2164,1547,1547
2165,879,879
2166,1226,1226
2167,314,314
2168,70,70
2169,633,633
2170,969,969
2171,1149,1149
2172,2665,2665
2173,1187,1187
2174,1992,1992
2175,3187,3187
2176,2420,2420
2177,1908,1908
2178,2320,2320
2179,2185,2185
2180,2308,2308
2181,1672,1672
2182,2040,2040
2183,118,118
2184,68,68
2185,442,442
2186,2552,2552
2187,198,198
2188,4,4
2189,513,513
2190,1423,1423
2191,2247,2247
2192,592,593
2193,272,272
2194,2010,2010
2195,980,980
2196,771,771
2197,627,627
2198,709,709
2199,2487,2487
2200,1800,1800
2201,2240,2240
2202,1264,1264
2203,1185,1185
2204,1901,1901
2205,1812,1812
2206,916,916
2207,493,493
2208,2020,2020
2209,854,854
2210,1949,1949
2211,504,504
2212,2098,2098
2213,1084,1084
2214,2002,2002
2215,926,926
2216,489,489
2217,1054,1054
2218,1872,1872
2219,1457,1457
2220,1141,1141
2221,798,798
2222,729,729
2223,820,820
2224,1571,1571
2225,2135,2135
2226,1245,1245
2227,1517,1517
2228,2893,2893
2229,1479,1479
2230,2609,2609
2231,1539,1539
2232,2977,2977
2233,2385,2385
2234,2382,2382
2235,2444,2444
2236,2297,2297
2237,858,858
2238,905,905
2239,3083,3083
2240,907,907
2241,1872,1872
2242,1777,1777
2243,1822,1822
2244,1414,1414
2245,2151,2151
2246,1908,1908
2247,2662,2662
2248,2905,2905
2249,3185,3185
2250,2679,2679
2251,638,638
2252,1406,1406
2253,3209,3209
2254,646,646
2255,370,370
2256,2827,2827
2257,1198,1198
2258,11,11
2259,1292,1292
2260,184,184
2261,328,328
2262,236,236
2263,350,350
2264,504,504
2265,0,0
2266,392,392
2267,1288,1288
2268,549,549
2269,1765,1765
2270,1863,1863
2271,1315,1315
2272,700,700
2273,1542,1542
2274,2714,2714
2275,2254,2254
2276,1843,1843
2277,1942,1942
2278,1925,1925
2279,2308,2308
2280,1789,1789
2281,2631,2631
2282,1028,1028
2283,1134,1134
2284,2951,2951
2285,1728,1728
2286,1932,1932
2287,1147,1147
2288,1141,1141
2289,1044,1044
2290,994,994
2291,1022,1022
2292,778,778
2293,989,989
2294,2650,2650
2295,2173,2173
2296,2121,2121
2297,743,743
2298,2449,2449
2299,2454,2454
2300,1833,1833
2301,3147,3147
2302,743,743
2303,1148,1148
2304,975,975
2341,3252,3252
2342,3117,3117
2343,1459,1459
2344,2088,2088
2345,2835,2835
2346,2835,2835
2347,2993,2993
2348,3352,3352
2349,3393,3393
2350,1080,1080
2351,712,712
2352,1017,1017
2353,5,5
2354,698,698
2355,1002,1002
2356,1376,1376
2357,313,313
2358,703,703
2359,1972,1972
2360,79,79
2361,407,407
2362,1515,1515
2363,685,685
2364,1163,1163
2365,2494,2494
2366,546,546
2367,3237,3237
2368,2325,2325
2369,2755,2755
2370,2503,2503
2371,3131,3131
2372,2332,2332
2373,1284,1284
2374,962,962
2375,1605,1605
2376,2180,2180
2377,1024,1024
2378,987,987
2379,106,106
2380,1697,1697
2381,232,232
2382,91,91
2383,1127,1127
2384,2286,2286
2385,824,824
2386,533,533
2387,1777,1777
2388,0,0
2389,0,0
2390,4092,4092
2391,1769,1769
2392,2296,2297
2393,2170,2171
2394,1377,1377
2395,1252,1252
2396,1598,1598
2397,2048,2048
2398,1677,1677
2399,1616,1616
2400,566,566
2401,1835,1835
2402,1328,1328
2403,1120,1120
2404,1556,1556
2405,2652,2652
2406,1408,1408
2407,2267,2267
2408,2699,2699
2409,1942,1942
2410,1248,1248
2411,1734,1734
2412,2971,2971
2413,2136,2136
2414,2496,2496
2415,2101,2101
2416,2019,2019
2417,514,514
2418,1742,1742
2419,2080,2080
2420,1613,1613
2421,2580,2580
2422,968,968
2423,2941,2941
2424,901,901
2425,3522,3522
2456,1706,1706
2457,2329,2329
2458,969,969
2459,2175,2175
2460,1050,1050
2461,82,82
2462,2644,2644
2519,3200,3200
2520,1608,1608
2521,2262,2262
2522,2037,2037
2523,4747,4747
2524,1552,1552
2525,1317,1317
2526,2258,2258
2527,118,118
2528,2556,2556
2529,1424,1424
2530,372,372
2531,245,245
2532,1838,1838
2533,1073,1073
2534,1725,1725
2535,493,493
2536,1170,1170
2537,2241,2241
2538,1615,1615
2539,2306,2306
2540,1508,1508
2541,1228,1228
2542,3045,3045
2543,786,786
2544,1065,1065
2557,523,523
2558,1910,1910
2559,1928,1928
2560,2040,2040
2561,1393,1393
2562,1539,1539
2563,759,759
2564,151,151
2565,1321,1321
2566,1102,1102
2567,2217,2217
2568,2647,2647
2569,2012,2012
2570,3277,3277
2571,2115,2115
2572,1618,1618
2636,3622,3622
2637,3522,3522
2638,1984,1984
2639,3233,3233
2640,2296,2296
2641,2036,2036
2642,1244,1244
2643,2085,2085
2644,2674,2674
2645,2430,2430
2646,2105,2105
2647,1064,1064
2648,988,988
2649,2120,2120
2650,563,563
2651,3354,3354
2652,1202,1202
2653,3455,3455
2654,3627,3627
2655,3356,3356
2656,2887,2887
2657,851,851
2658,1917,1917
2659,536,536
2660,1575,1575
2661,2296,2296
2662,2030,2030
2663,2676,2676
2664,1863,1863
2665,1940,1940
2666,1137,1137
2667,1542,1542
2668,1227,1227
2669,1636,1636
2670,700,700
2671,1055,1055
2672,2900,2900
2673,708,708
2674,2111,2111
2675,2153,2153
2676,13,13
2677,1089,1089
2678,730,730
2679,832,832
2680,895,895
2681,1019,1019
2682,1341,1341
2683,1818,1818
2684,2733,2733
2694,854,854
2695,1287,1287
2696,1229,1229
2697,1820,1820
2698,523,523
2699,1258,1258
2700,411,411
2701,969,969
2702,2391,2391
2703,745,745
2704,1572,1572
2705,115,115
2706,1656,1656
2707,2038,2038
2708,3257,3257
2709,1964,1964
2710,2223,2223
2711,1607,1607
2712,1632,1632
2713,1296,1296
2714,2137,2137
2715,3759,3759
2716,3099,3099
2717,1516,1516
2718,1660,1660
2719,1194,1194
2720,2252,2252
2721,1648,1648
2722,968,968
2723,2368,2368
2724,1720,1720
2725,2799,2799
2726,844,844
2727,1647,1647
2751,480,481
2752,937,937
2753,621,621
2754,530,530
2755,621,621
2756,5,5
2757,1533,1533
2758,1813,1813
2759,2770,2770
2760,1394,1394
2761,4168,4168
2762,2019,2019
2763,931,931
2764,1553,1553
2765,2071,2071
2766,3045,3045
2767,1029,1029
2768,1972,1972
2769,1182,1182
2770,1094,1094
2771,896,896
2772,854,854
2773,463,463
2774,556,556
2775,639,639
2776,821,821
2777,819,819
2778,761,761
2779,428,428
2780,371,371
2781,840,840
2782,1493,1493
2783,1672,1672
2784,1337,1337
2785,1068,1068
2786,986,986
2787,738,738
2788,92,92
2789,983,983
2790,1133,1133
2791,1292,1292
2792,1111,1111
2793,1468,1468
2794,841,841
2795,1371,1371
2796,652,652
2797,1568,1568
2798,844,844
2799,2076,2076
2800,801,801
2801,835,835
2802,1735,1735
2803,1771,1771
2804,953,953
2805,1056,1056
2806,2075,2075
2807,1287,1287
2808,1589,1589
2809,655,655
2810,2040,2040
2811,846,846
2812,42,42
2813,17,17
2814,877,877
2815,1007,1007
2816,423,423
2817,431,431
2818,1040,1040
2819,450,450
2820,2312,2312
2821,475,475
2822,766,766
2823,403,403
2824,332,332
2825,527,527
2826,421,421
2827,142,142
2828,103,103
2829,365,365
2830,228,229
2831,723,723
2832,815,815
2833,124,124
2834,1,1
2835,612,612
2836,703,703
2837,376,376
2838,873,873
2839,595,595
2840,2088,2088
2841,2048,2048
2842,999,999
2843,942,942
2844,1897,1897
2845,1555,1555
2846,1699,1699
2847,891,891
2848,1498,1498
2849,1323,1323
2850,944,944
2851,1368,1368
2852,2151,2151
2853,1057,1057
2854,860,860
2855,1181,1181
2856,1521,1521
2857,1211,1211
2858,254,254
2859,577,577
2860,592,592
2861,929,929
2862,611,611
2863,818,818
2864,1458,1458
2865,342,342
2866,1104,1104
2867,1650,1650
2868,1239,1239
2869,1579,1579
2870,1524,1524
2871,1204,1204
2872,744,744
2873,858,858
2874,952,952
2875,883,883
2876,1682,1682
2877,1379,1379
2878,1902,1902
2879,1036,1036
2880,744,744
2881,400,400
2882,272,272
2883,699,699
2884,1208,1208
2885,574,574
2886,904,904
2887,490,490
2888,1296,1296
2889,1265,1265
2890,1068,1068
2891,1009,1009
2892,766,766
2893,601,601
2894,1211,1211
2895,1316,1316
2896,625,625
2897,766,766
2898,713,713
2899,1660,1660
2900,2621,2621
2901,1181,1181
2902,2075,2075
2903,2156,2156
2904,1073,1073
2905,1504,1504
2906,3353,3353
2907,926,926
2908,1140,1140
2909,882,882
2910,1896,1896
2911,1643,1643
2912,1439,1439
2913,679,679
2914,41,41
2915,1246,1246
2916,1653,1653
2917,902,902
2918,982,982
2919,1657,1657
2920,2059,2059
2921,1097,1097
2922,1680,1680
2923,1388,1388
2924,901,901
2925,2074,2074
2926,1764,1764
2927,741,741
2928,1523,1523
2929,392,392
2930,608,608
2931,2978,2978
2932,654,654
2933,110,110
2934,148,148
2935,536,536
2936,1066,1066
2937,1040,1040
2938,410,410
2939,562,562
2940,2111,2111
2941,1694,1694
2942,1255,1255
2943,1777,1777
2944,714,714
2945,438,438
2946,1847,1847
2947,1774,1774
2948,1210,1210
2949,1264,1264
2950,1156,1156
2951,1035,1035
2952,1050,1050
2953,425,425
2954,702,702
2955,917,917
2956,1682,1682
2957,886,886
2958,723,723
2959,635,635
2960,892,892
2961,739,739
2962,461,461
2963,1838,1838
2964,323,323
2965,587,587
2966,181,181
2967,493,493
2968,587,587
2969,207,207
2970,0,0
2971,1768,1768
2972,781,781
2973,593,593
2974,909,909
2975,349,349
2976,687,687
2977,854,854
2978,2331,2331
2979,684,684
2980,1214,1214
2981,290,290
2982,244,244
2983,761,761
2984,457,457
2985,949,949
2986,905,905
2987,811,811
2988,777,777
2989,1759,1759
2990,230,230
2991,816,816
2992,1496,1496
2993,143,143
2994,87,87
2995,1056,1056
2996,891,891
2997,539,539
2998,1000,1000
2999,1506,1506
3000,572,572
3001,2489,2489
3002,1459,1459
3003,1213,1213
3004,2950,2950
3005,1177,1177
3006,540,540
3007,2017,2017
3008,2058,2058
3009,1097,1097
3010,926,926
3011,1003,1003
3012,1469,1469
3013,1502,1502
3014,798,798
3015,1302,1302
3016,832,832
3017,2302,2302
3018,3693,3693
3019,1098,1098
3020,589,589
3021,1463,1463
3022,908,908
3023,2115,2115
3024,764,764
3025,2441,2441
3026,1248,1248
3027,2103,2103
3028,1424,1424
3029,2557,2557
3030,329,329
3031,369,369
3032,1424,1424
3033,900,900
3034,949,949
3035,744,744
3036,419,419
3037,1223,1223
3038,189,189
3039,356,356
3040,1021,1021
3041,1158,1158
3042,1255,1255
3043,126,126
3044,935,935
3045,2018,2018
3046,966,966
3047,1331,1331
3048,522,522
3049,2026,2026
3050,1956,1956
3051,696,696
3052,529,529
3053,2174,2174
3054,2064,2064
3055,1360,1360
3056,816,816
3057,857,857
3058,2809,2809
3059,909,909
3060,1028,1028
3061,2979,2979
3062,1013,1013
3063,2791,2791
3064,1045,1045
3065,647,647
3066,669,669
3067,669,669
3068,941,941
3069,767,767
3070,783,783
3071,635,635
3072,696,696
3073,900,900
3074,1030,1030
3075,26,27
3076,910,911
3077,1279,1279
3078,1498,1498
3079,1351,1351
3080,694,694
3081,1155,1155
3082,1214,1214
3083,372,372
3084,1259,1259
3085,1260,1260
3086,739,739
3087,788,788
3088,1098,1098
3089,2241,2241
3090,1138,1138
3091,1346,1346
3092,2921,2921
3093,1285,1285
3094,409,409
3095,793,793
3096,382,382
3097,1054,1054
3098,937,937
3099,804,804
3100,1068,1068
3101,2259,2259
3102,2065,2065
3103,1866,1866
3104,2518,2518
3105,962,962
3106,862,862
3107,2131,2131
3108,1073,1073
3109,944,944
3110,1314,1314
3111,884,884
3112,972,972
3113,529,529
3114,3327,3327
3115,1365,1365
3116,1765,1765
3117,586,586
3118,431,431
3119,963,963
3120,1536,1536
3121,0,0
3122,50,50
3123,215,215
3124,0,0
3125,0,0
3126,0,0
3127,136,136
3128,540,540
3129,1060,1060
3130,1325,1325
3131,167,167
3132,770,770
3133,1521,1521
3134,762,762
3135,912,912
3136,548,548
3137,562,562
3138,704,704
3139,1060,1060
3140,910,910
3141,1153,1153
3142,815,815
3143,1143,1143
3144,785,785
3145,140,140
3146,603,603
3147,2360,2360
3148,43,43
3149,943,943
3150,2459,2459
3151,857,857
3152,1244,1244
3153,1153,1153
3154,648,648
3155,0,0
3156,783,783
3157,608,608
3158,722,722
3159,947,947
3160,1078,1078
3161,0,0
3162,0,0
3163,652,652
3164,952,952
3165,1154,1154
3166,897,897
3167,530,530
3168,1313,1313
3169,1243,1243
3170,727,727
3171,846,847
3172,1027,1027
3173,634,634
3174,1267,1267
3175,689,689
3176,881,881
3177,630,630
3178,50,50
3179,685,685
3180,596,596
3181,386,386
3182,0,0
3183,447,447
3184,1052,1052
3185,416,416
3186,1022,1022
3187,815,815
3188,660,660
3189,262,262
3190,0,0
3191,184,184
3192,0,0
3193,74,74
3194,56,56
3195,806,806
3196,0,0
3197,0,0
3198,743,743
3199,954,954
3200,1531,1531
3201,1096,1096
3202,2371,2371
3203,1334,1334
3204,1040,1040
3205,869,869
3206,718,718
3207,495,495
3208,639,639
3209,884,884
3210,857,857
3211,657,657
3212,1079,1079
3213,796,796
3214,694,694
3215,1093,1093
3216,827,827
3217,712,712
3218,625,625
3219,577,577
3220,814,814
3221,776,776
3222,1313,1313
3223,709,709
3224,1191,1191
3225,1326,1326
3226,739,739
3227,1222,1222
3228,1803,1803
3229,445,445
3230,1140,1140
3231,1087,1087
3232,894,894
3233,0,0
3234,17,17
3235,756,756
3236,591,591
3237,1623,1623
3238,725,725
3239,1131,1131
3240,798,798
3241,543,543
3242,1331,1331
3243,0,0
3244,724,724
3245,136,136
3246,337,337
3247,203,203
3248,85,85
3249,1710,1710
3250,75,75
3251,282,282
3252,516,516
3253,758,758
3254,1308,1308
3255,376,376
3256,613,613
3257,1046,1046
3258,6,6
3259,754,754
3260,30,30
3261,544,544
3262,198,198
3263,43,43
3264,1218,1218
3265,557,557
3266,602,602
3267,0,0
3268,348,348
3271,3246,3246
3272,2796,2796
3273,1234,1234
3274,2149,2149
3275,2406,2406
3276,1618,1618
3277,935,935
3278,1582,1582
3279,2318,2318
3280,1488,1488
3281,2073,2073
3282,1290,1290
3283,1051,1051
3284,951,951
3285,1307,1307
3286,1921,1921
3287,1438,1438
3288,1843,1843
3289,1632,1632
3290,1682,1682
3291,1736,1736
3292,2800,2800
3293,1456,1456
3294,1323,1323
3295,812,812
3296,1794,1794
3297,1330,1330
3298,1169,1169
3299,2258,2258
3300,1258,1258
3301,657,657
3302,1960,1960
3303,1595,1595
3304,2334,2334
3305,2721,2721
3306,1386,1386
3307,2046,2046
3308,1037,1037
3309,1003,1003
3310,1169,1169
3311,2071,2071
3312,2108,2108
3313,1178,1178
3314,1707,1707
3315,1510,1510
3316,2152,2152
3317,888,888
3318,842,842
3319,1915,1915
3320,1847,1847
3321,2497,2497
3322,1839,1839
3323,1959,1959
3324,1448,1448
3325,1829,1829
3326,1782,1782
3327,975,975
3328,1042,1042
3329,1119,1119
3330,1107,1107
3331,632,632
3332,880,880
3333,664,664
3334,796,796
3335,1233,1233
3336,1145,1145
3337,1020,1020
3338,1886,1886
3339,2091,2091
3340,1267,1267
3341,1281,1281
3342,1530,1530
3343,928,928
3344,1210,1210
3345,1375,1375
3346,1303,1303
3347,3394,3394
3348,1172,1172
3349,2544,2544
3350,1875,1875
3351,1641,1641
3352,1725,1725
3353,1485,1485
3354,2967,2967
3355,1242,1242
3356,1220,1220
3357,1250,1250
3358,973,973
3359,1424,1424
3360,2281,2281
3361,1117,1117
3362,668,668
3363,654,654
3364,876,876
3365,898,898
3366,1171,1171
3367,971,971
3368,840,840
3369,1043,1043
3370,1034,1034
3371,1182,1182
3372,721,721
3373,1066,1066
3374,1160,1160
3375,2500,2500
3376,2038,2038
3377,1321,1321
3378,1628,1628
3379,1344,1344
3380,1170,1170
3381,1056,1056
3382,724,724
3383,856,856
3384,1425,1425
3385,929,929
3386,637,637
3387,1861,1861
3388,1098,1098
3389,988,988
3390,1331,1331
3391,853,853
3392,663,663
3393,2250,2250
3394,1884,1884
4001,1833,1833
4002,2091,2091
4003,1179,1179
4004,2051,2051
4005,1185,1185
4006,1364,1364
4007,986,986
4008,1427,1427
4009,1560,1560
4010,2767,2767
4011,1129,1129
4012,2059,2059
4013,1850,1850
4014,1703,1703
4015,2780,2780
4016,1805,1805
4017,2770,2770
4018,2277,2277
4019,826,826
4020,2177,2177
4021,2887,2887
4022,1890,1890
4023,1619,1619
4024,1048,1048
4025,2410,2410
4026,1080,1080
4027,2442,2442
4028,1226,1226
4029,2997,2997
4030,2180,2180
4031,1768,1768
4032,1805,1805
4033,1539,1539
4034,1215,1215
4035,1535,1535
4036,2006,2006
4037,1757,1757
4038,1903,1903
4039,2154,2154
4040,1658,1658
4041,2059,2059
4042,1712,1712
4043,2453,2453
4044,1916,1916
4045,662,662
4046,1750,1750
4047,946,946
4048,1161,1161
4049,1332,1332
4050,1469,1469
4051,1328,1328
4052,1915,1915
4053,1508,1508
4054,2073,2073
4055,2399,2399
4056,2888,2888
4057,1796,1796
4058,2149,2149
4059,2442,2442
4060,2466,2466
4061,2110,2110
4062,1095,1095
4063,1487,1487
4064,1423,1423
4065,925,925
4066,2156,2156
4067,1951,1951
4068,2693,2693
4069,1767,1767
4070,1290,1290
4071,840,840
4072,1056,1056
4073,1495,1495
4074,1761,1761
4075,2428,2428
4076,853,853
4077,2002,2002
4078,1070,1070
4079,855,855
4080,1220,1220
4081,1056,1056
4082,1041,1041
4083,2023,2023
4084,842,842
4085,937,937
4086,3361,3361
4087,2283,2283
4088,3750,3750
4089,1170,1170
4090,1394,1394
4091,1537,1537
4092,1684,1684
4093,1634,1634
4094,955,955
4095,635,635
4096,1430,1430
4097,1108,1108
4098,1642,1642
4099,1214,1214
4100,1109,1109
4101,1223,1223
4102,768,768
4103,1308,1308
4104,1497,1497
4105,2045,2045
4106,1806,1806
4107,1715,1715
4108,1662,1662
4109,1497,1497
4110,1177,1177
4111,1822,1822
4112,975,975
4113,1518,1518
4114,1025,1025
4115,1412,1412
4116,1221,1221
4117,1656,1656
4118,1809,1809
4119,1785,1785
4120,2693,2693
4121,1366,1366
4122,2293,2293
4123,1227,1227
4124,1251,1251
4125,1167,1167
4126,815,815
4127,722,722
4128,887,887
4129,1699,1699
4130,1194,1194
4131,1736,1736
4132,1978,1978
4133,1171,1171
4134,1102,1102
4135,2448,2448
4136,3042,3042
4137,3274,3274
4138,1589,1589
4139,1255,1255
4140,1110,1110
4141,869,869
4142,644,644
4143,1268,1268
4144,1467,1467
4145,1067,1067
4146,626,626
4147,1113,1113
4148,1714,1714
4149,1434,1434
4150,1471,1471
4151,1032,1032
4152,1190,1190
4153,651,651
4154,932,932
4155,1099,1099
4156,812,812
4157,750,750
4158,856,856
4159,1094,1094
4160,1653,1653
4161,941,941
4162,1021,1021
4163,1478,1478
4164,1010,1010
4165,1526,1526
4166,764,764
4167,610,610
4168,1230,1230
4169,1222,1222
4170,1361,1361
4171,500,500
4172,1471,1471
4173,1240,1240
4174,1249,1249
4175,611,611
4176,780,780
4177,827,827
4178,812,812
4179,1095,1095
4180,617,617
4181,1621,1621
4182,1182,1182
4183,836,836
4184,1221,1221
4185,978,978
4186,1244,1244
4187,1047,1047
4188,575,575
4189,881,881
4190,1130,1130
4191,1337,1337
4192,1064,1064
4193,1052,1052
4194,1271,1271
4195,609,609
4196,1267,1267
4197,1078,1078
4198,2142,2142
4199,1051,1051
4200,495,495
4201,513,513
4202,978,978
4203,1297,1297
4204,631,631
4205,882,882
4206,1761,1761
4207,2394,2394
4208,1172,1172
4209,578,578
4210,1089,1089
4211,1036,1036
4212,990,990
4213,766,766
4214,1075,1075
4215,1120,1120
4216,992,992
4217,756,756
4218,1012,1012
4219,1510,1510
4220,3007,3007
4221,1818,1818
4222,1498,1498
4223,2512,2512
4224,2590,2590
4225,2467,2467
4226,1300,1300
4227,908,908
4228,1975,1975
4229,1315,1315
4230,916,916
4231,866,866
4232,691,691
4233,2630,2630
4234,1542,1542
4235,3318,3318
4236,976,976
4237,1091,1091
4238,2162,2162
4239,2689,2689
4240,766,766
4241,1089,1089
4242,2549,2549
4243,1411,1411
4244,2307,2307
4245,2285,2285
4246,2020,2020
4247,1299,1299
4248,825,825
4249,1747,1747
4250,1936,1936
4251,1668,1668
4252,2149,2149
4253,1364,1364
4254,2014,2014
4255,1501,1501
4256,1093,1093
4257,1067,1067
4258,756,756
4259,2142,2142
4260,715,715
4261,772,772
4262,1108,1108
4263,709,709
4264,810,810
4265,1316,1316
4266,960,960
4267,687,687
4268,658,658
4269,1142,1142
4270,1341,1341
4271,1322,1322
4272,767,767
4273,670,670
4274,1119,1119
4275,1464,1464
4276,970,970
4277,795,795
4278,935,935
4279,951,951
4280,799,799
4281,1151,1151
4282,917,917
4283,2865,2865
4284,1970,1970
4285,1863,1863
4286,1061,1061
4287,1325,1325
4288,923,923
4289,808,808
4290,733,733
4291,1335,1335
4292,1161,1161
4293,1066,1066
4294,1168,1168
4295,737,737
4296,701,701
4297,609,609
4298,906,906
4299,604,604
