GEOID,ID,BG_LA_pct,NAME,nonmin_pop,nonmin_moe,tot_pop,tot_moe,nonmin_alloc,tot_alloc,nonmin_moe_alloc,tot_moe_alloc
250010110022,4732,1.7886504706569143e-4,"Block Group 2, Census Tract 110.02, Barnstable County, Massachusetts",427,124,495,135,0.07637537509705024,0.08853819829751726,0.02217926583614574,0.024146781353868343
250010110024,4732,8.516188864098188e-10,"Block Group 4, Census Tract 110.02, Barnstable County, Massachusetts",2115,455,2508,465,1.801173944756767e-6,2.1358601671158256e-6,3.8748659331646756e-7,3.9600278218056575e-7
250010115004,4732,5.705879653212521e-9,"Block Group 4, Census Tract 115, Barnstable County, Massachusetts",959,248,986,242,5.471938587430807e-6,5.625997338067546e-6,1.4150581539967053e-6,1.38082287607743e-6
250010115005,4732,0.9999770500798922,"Block Group 5, Census Tract 115, Barnstable County, Massachusetts",585,243,1340,498,584.986574296737,1339.9692471070557,242.9944231694138,497.9885709397863
250010117001,4732,2.5193474523831e-13,"Block Group 1, Census Tract 117, Barnstable County, Massachusetts",639,160,700,167,1.609863022072801e-10,1.76354321666817e-10,4.03095592381296e-11,4.207310245479777e-11
250010117003,4732,1.1152193763437752e-4,"Block Group 3, Census Tract 117, Barnstable County, Massachusetts",766,176,820,188,0.08542580422793318,0.09144798886018957,0.019627861023650443,0.020966124275262975
250010118022,4606,2.3433859096521105e-14,"Block Group 2, Census Tract 118.02, Barnstable County, Massachusetts",619,231,689,270,1.4505558780746564e-11,1.614592891750304e-11,5.413221451296375e-12,6.3271419560606986e-12
250010121011,4606,5.1009145966053325e-14,"Block Group 1, Census Tract 121.01, Barnstable County, Massachusetts",1367,479,2291,520,6.97295025355949e-11,1.1686195340822817e-10,2.4433380917739544e-11,2.652475590234773e-11
250010121011,4619,5.368081241043074e-15,"Block Group 1, Census Tract 121.01, Barnstable County, Massachusetts",1367,479,2291,520,7.338167056505881e-12,1.2298274123229682e-11,2.5713109144596325e-12,2.7914022453423985e-12
250010121012,4606,0.999998473173013,"Block Group 2, Census Tract 121.01, Barnstable County, Massachusetts",480,318,1109,498,479.99926712304625,1108.9983067488715,317.99951446901815,497.9992396401605
250010121013,4619,3.176021470449552e-14,"Block Group 3, Census Tract 121.01, Barnstable County, Massachusetts",710,306,869,314,2.254975244019182e-11,2.7599626578206606e-11,9.718625699575629e-12,9.972707417211594e-12
250010121014,4619,0.9998772227571058,"Block Group 4, Census Tract 121.01, Barnstable County, Massachusetts",787,389,910,395,786.9033743098422,909.8882727089663,388.95223965251415,394.9515029890568
