GEOID,ID,TRACT_LA_pct,NAME,nonmin_pop,nonmin_moe,tot_pop,tot_moe,nonmin_alloc,tot_alloc,nonmin_moe_alloc,tot_moe_alloc
25001011002,4732,4.1483205561154045e-5,"Census Tract 110.02, Barnstable County, Massachusetts",3843,508,4337,524,0.159419958971515,0.1799126625187251,0.021073468425066254,0.02173719971404472
25001011500,4732,0.198043405102352,"Census Tract 115, Barnstable County, Massachusetts",3244,433,4109,547,642.4528061520299,813.7603515655643,85.75279440931841,108.32974259098654
25001011700,4732,3.913079870991107e-5,"Census Tract 117, Barnstable County, Massachusetts",1932,275,2056,279,0.07560070310754818,0.08045292214757715,0.010760969645225544,0.010917492840065188
25001011802,4606,8.151267622558588e-15,"Census Tract 118.02, Barnstable County, Massachusetts",4463,523,4722,566,3.6379107399478976e-11,3.849028571372165e-11,4.263112966598141e-12,4.613617474368161e-12
25001012101,4606,0.29438200935657205,"Census Tract 121.01, Barnstable County, Massachusetts",4056,660,6260,660,1194.0134299502563,1842.831378572141,194.29212617533756,194.29212617533756
25001012101,4619,0.12655147140497577,"Census Tract 121.01, Barnstable County, Massachusetts",4056,660,6260,660,513.2927680185817,792.2122109951483,83.52397112728401,83.52397112728401
25001012102,4606,3.5991394139202895e-14,"Census Tract 121.02, Barnstable County, Massachusetts",2883,449,3091,450,1.0376318930332195e-10,1.1124939928427615e-10,1.61601359685021e-11,1.6196127362641302e-11
25001012102,4619,2.1176137678757292e-5,"Census Tract 121.02, Barnstable County, Massachusetts",2883,449,3091,450,0.06105080492785728,0.0654554415650388,0.009508085817762024,0.009529261955440781
25001012502,4701,0.5110731263347434,"Census Tract 125.02, Barnstable County, Massachusetts",2258,520,3742,575,1154.0031192638507,1912.43563874461,265.7580256940666,293.8670476424775
25001012601,4710,2.2612210266705068e-4,"Census Tract 126.01, Barnstable County, Massachusetts",2848,603,3508,631,0.6439957483957603,0.7932363361560137,0.13635162790823158,0.142683046782909
25001012602,4709,0.27226634602579314,"Census Tract 126.02, Barnstable County, Massachusetts",3041,408,6018,975,827.9619582644369,1638.498870383223,111.0846691785236,265.4596873751483
25001012602,4710,0.24146943559105705,"Census Tract 126.02, Barnstable County, Massachusetts",3041,408,6018,975,734.3085536324045,1453.1630633869813,98.51952972115127,235.43269970128063
25001012602,4712,5.78175343978904e-6,"Census Tract 126.02, Barnstable County, Massachusetts",3041,408,6018,975,0.01758231221039847,0.03479459220065044,0.002358955403433928,0.005637209603794314
25001012700,4701,3.6153438497873615e-14,"Census Tract 127, Barnstable County, Massachusetts",4333,559,5044,771,1.5665284901128637e-10,1.8235794378327452e-10,2.020977212031135e-11,2.7874301081860557e-11
25001013800,4658,0.2322639848888061,"Census Tract 138, Barnstable County, Massachusetts",4826,567,5834,717,1120.9059910733781,1355.0280878412948,131.69367943195306,166.53327716527397
25001014100,4658,1.1434424751438854e-6,"Census Tract 141, Barnstable County, Massachusetts",715,236,847,245,8.17561369727878e-4,9.68495776446871e-4,2.6985242413395696e-4,2.801434064102519e-4
25001015300,4606,4.0973849641169094e-14,"Census Tract 153, Barnstable County, Massachusetts",1746,346,3602,661,7.154034147348124e-11,1.4758780640749108e-10,1.4176951975844507e-11,2.708371461281277e-11
25001015300,4701,8.244093564947178e-15,"Census Tract 153, Barnstable County, Massachusetts",1746,346,3602,661,1.4394187364397773e-11,2.9695225020939736e-11,2.8524563734717237e-12,5.449345846430085e-12
25001015300,4709,2.756838980585969e-15,"Census Tract 153, Barnstable County, Massachusetts",1746,346,3602,661,4.8134408601031014e-12,9.93013400807066e-12,9.538662872827453e-13,1.8222705661673254e-12
25001015300,4710,4.446143306152333e-8,"Census Tract 153, Barnstable County, Massachusetts",1746,346,3602,661,7.762966212541973e-5,1.6015008188760704e-4,1.538365583928707e-5,2.938900725366692e-5
25001015300,4712,0.06480275395617859,"Census Tract 153, Barnstable County, Massachusetts",1746,346,3602,661,113.14560840748781,233.41951975015527,22.42175286883779,42.83462036503405
25003900100,6069,1.3730735796248132e-14,"Census Tract 9001, Berkshire County, Massachusetts",2423,310,3225,516,3.3269572834309226e-11,4.428162294290023e-11,4.256528096836921e-12,7.085059670864036e-12
25003900100,6075,1.6637797606215677e-13,"Census Tract 9001, Berkshire County, Massachusetts",2423,310,3225,516,4.0313383599860584e-10,5.365689728004555e-10,5.15771725792686e-11,8.585103564807289e-11
25003900100,6098,6.952559674937227e-15,"Census Tract 9001, Berkshire County, Massachusetts",2423,310,3225,516,1.68460520923729e-11,2.2422004951672557e-11,2.1552934992305405e-12,3.587520792267609e-12
25003900200,6069,4.109591277214008e-14,"Census Tract 9002, Berkshire County, Massachusetts",3158,594,4738,665,1.2978089253441838e-10,1.947124347143997e-10,2.4410972186651207e-11,2.7328781993473153e-11
25003900200,6075,5.80049703880808e-14,"Census Tract 9002, Berkshire County, Massachusetts",3158,594,4738,665,1.8317969648555917e-10,2.7482754969872683e-10,3.4454952410519996e-11,3.857330530807373e-11
25003900300,6069,0.18912980057566048,"Census Tract 9003, Berkshire County, Massachusetts",1828,379,2651,424,345.7292754523074,501.3831013260759,71.68019441817532,80.19103544408004
25003900400,6069,8.994259098779064e-15,"Census Tract 9004, Berkshire County, Massachusetts",4129,575,4593,525,3.713729581885875e-11,4.131063204069224e-11,5.171698981797962e-12,4.721986026859009e-12
25003900400,6106,3.4331380995552017e-4,"Census Tract 9004, Berkshire County, Massachusetts",4129,575,4593,525,1.4175427213063427,1.576840329125704,0.1974054407244241,0.1802397502266481
