Intersection_ID,ID,GEOID,BG_TOTAL_AREA,INTERSECTION_TOTAL_AREA,INTERSECTION_LAND_AREA,BG_LAND_AREA,num_roof,rooftop_pct
9161,4436,250235601004,10209657.5966588,10017802.3328072,10017802.3328072,10209657.5966589,1049,0.9980970504281637
4397,2537,250235232011,2582328.5804069,1663699.09032749,1663699.09032753,2555892.13030428,270,0.46551724137931033
4881,2559,250235251041,8589527.10987991,7111939.51830947,7070098.71064444,8547587.20875985,969,0.9416909620991254
7033,4387,250235401031,17289261.7822618,17221940.8404022,16451130.7938121,16517943.7000192,1342,1
3923,1873,250235202021,2460250.3266536,2460188.96033536,2439560.36675227,2439619.71210142,396,1
3919,1873,250235202013,2479243.28910976,1391295.45560367,1391295.45560368,2479243.28910943,412,0.5261813537675607
3995,1877,250235202023,3193311.26796263,1181997.7898269,1181997.78982689,3193311.26796273,377,0.5
7597,4397,250235422001,24876294.6688727,24826635.1802809,24472702.1806625,24482754.2973421,1432,1
4439,2538,250235232012,7167284.75569998,2589125.1335759,2582392.44270439,7160552.06482848,293,0.3496420047732697
7017,4386,250235401021,30802728.0401188,30775450.7068351,15382169.7850383,15383694.2795651,1911,1
5173,2571,250235252042,9073736.32447808,5226361.91736013,5165863.06632331,8982808.52950566,399,0.43991179713340683
6932,4383,250235401011,10723186.3632967,10708429.5033245,10498878.3480794,10513635.208051,791,1
5131,2560,250235251043,4637124.00660593,4217685.67249422,4217685.67249436,4637124.0066051,861,0.9228295819935691
4349,2537,250235231001,6010871.78002893,1137073.55299632,1135216.00513878,5954615.60428829,346,0.33205374280230326
4772,2557,250235251012,14511928.9388706,8021968.66765026,6395721.88047162,12853327.2318279,271,0.23503902862098872
5137,2565,250235251044,1076026.64659585,348497.359389265,348497.359389276,1032457.06492967,253,0.5938967136150235
3886,1878,250235201004,1830549.97121837,1477529.94020052,1477529.94020047,1818609.52260382,606,0.8833819241982507
9413,2570,250235614002,2509703.28682512,996133.835983746,944279.556005029,2411431.6275232,203,0.4319148936170213
4347,2544,250235231001,6010871.78002893,3163220.67906269,3144965.84038611,5954615.60428829,370,0.3550863723608445
401,1890,250235021011,2140359.03829719,718211.013053104,718211.013053094,2140359.03829708,324,0.3985239852398524
181,1861,250235011024,6362703.33020746,1275656.39263139,1275656.3926315,6199564.50217838,252,0.2978723404255319
7290,4392,250235421011,19911884.7463462,19911319.5943732,19722001.3031278,19722566.455101,1075,1
723,1894,250235031012,3973376.43846637,1525120.88543069,1525120.88543083,3973376.43846676,242,0.3283582089552239
730,1894,250235031014,3679824.02778817,525552.405329864,514288.252707213,3661244.27173287,101,0.14852941176470588
212,1868,250235012011,3351986.57698807,2937862.03368531,2924996.77256391,3339121.31586616,474,0.7371695178849145
4283,2648,250235221021,16056363.190809,9618397.77156968,9357768.08982446,15314610.7240401,676,0.5582163501238646
68,1860,250235011012,4109231.7182675,1490367.65454101,1435033.86608659,3954668.84447645,364,0.48663101604278075
7151,4390,250235411002,39671694.0430267,39669419.9472244,34661375.0254988,34662059.8810002,1551,1
81,1858,250235011012,4109231.7182675,73515.5891979073,69990.2756742734,3954668.84447645,45,0.06016042780748663
4473,2540,250235232031,7852679.04590275,5216122.02255164,5216122.02255157,7852679.04590327,600,0.6451612903225806
425,1888,250235021012,586828.844400799,439192.138966735,439192.138966771,586828.844400807,293,0.6766743648960739
