GEOID,ID,tot_roofs,BG_RT_pct
250056002032,NA,415,1
250056101001,NA,815,1
250056102021,NA,839,1
250056102022,NA,403,1
250056102024,NA,576,1
250056102041,NA,772,1
250056102043,NA,451,1
250056302011,NA,592,1
250092011001,756,461,1
250092011002,756,576,1
250092011003,756,674,1
250092021011,1135,53,0.15915915915915915
250092021011,1136,131,0.3933933933933934
250092021011,1137,135,0.40540540540540543
250092021011,1138,14,0.042042042042042045
250092021012,1136,313,1
250092021013,1136,292,1
250092021031,780,1,0.001430615164520744
250092021031,1140,698,0.9985693848354793
250092021041,1137,388,0.9002320185614849
250092021041,1140,43,0.09976798143851508
250092021042,764,1,0.0033222591362126247
250092021042,1137,142,0.4717607973421927
250092021042,1140,158,0.5249169435215947
250092021043,1137,288,1
250092021044,1139,13,1
250092021045,1138,9,0.036290322580645164
250092021045,1139,1,0.004032258064516129
250092021045,1140,238,0.9596774193548387
250092022001,1135,429,0.9907621247113164
250092022001,1138,4,0.009237875288683603
250092022002,1133,244,0.4073455759599332
250092022002,1134,355,0.5926544240400667
250092022003,1134,487,1
250092022004,1134,178,0.47593582887700536
250092022004,1135,196,0.5240641711229946
250092022005,1135,363,1
250092022006,1133,477,1
250092031001,1141,531,1
250092031002,1142,374,1
250092031003,1143,259,1
250092031004,1143,498,1
250092031005,1142,420,1
250092031006,1142,325,1
250092031007,1142,395,1
250092031008,1141,261,0.6365853658536585
250092031008,1142,149,0.36341463414634145
250092032001,1142,14,0.039660056657223795
250092032001,1143,109,0.3087818696883853
250092032001,1145,230,0.6515580736543909
250092032002,1141,216,0.5950413223140496
250092032002,1143,41,0.11294765840220386
250092032002,1145,106,0.29201101928374656
250092032003,1146,451,1
250092032004,1144,736,0.7494908350305499
250092032004,1145,245,0.2494908350305499
250092032004,NA,1,0.0010183299389002036
250092032005,1167,6,1
250092033011,1145,205,0.737410071942446
250092033011,1147,73,0.26258992805755393
250092033012,1146,643,0.7459396751740139
250092033012,1148,219,0.25406032482598606
250092033013,1145,89,0.35039370078740156
250092033013,1146,34,0.13385826771653545
250092033013,1147,131,0.515748031496063
250092033014,1146,223,0.6194444444444445
250092033014,1148,137,0.38055555555555554
250092033021,1147,595,0.9916666666666667
250092033021,1148,5,0.008333333333333333
250092033022,1147,287,1
250092033023,1148,467,1
250092033024,1148,517,1
250092041011,1159,462,1
250092041012,1157,161,0.5127388535031847
250092041012,1158,153,0.4872611464968153
250092041013,1158,372,1
250092041014,1159,146,1
250092041021,1150,817,1
250092041022,1149,411,1
250092042001,1159,189,0.6539792387543253
250092042001,1160,100,0.3460207612456747
250092042002,1160,117,0.8863636363636364
250092042002,1164,15,0.11363636363636363
250092042003,1164,235,0.9073359073359073
250092042003,1165,24,0.09266409266409266
250092042004,1158,31,0.17318435754189945
250092042004,1160,148,0.8268156424581006
250092042005,1164,340,1
250092043001,1161,26,0.10116731517509728
