block_id,taz_id,area_fct
250010127004008,4700,1
250010127004009,4700,1
250010127004010,4700,1
250010127004011,4700,1
250010127004012,4700,1
250010127004013,4700,1
250010127004014,4700,1
250010127004015,4700,1
250010127004016,4700,1
250010127004017,4700,1
250010127004018,4700,1
250010127004019,4700,1
250010127004020,4700,1
250010127004021,4700,1
250010127004022,4700,1
250010127004023,4700,1
250010127004024,4700,1
250010127004025,4700,1
250010127004026,4700,1
250010127004027,4700,1
250010127004028,4700,1
250010127004029,4700,1
250010127004030,4700,1
250010127004031,4700,1
250010127004032,4700,1
250010127004033,4700,1
250010127004034,4700,1
250010127004035,4700,1
250010127004036,4700,1
250010127004037,4700,1
250010127004038,4700,1
250010127004039,4700,1
250010127004040,4700,1
250010127004041,4700,1
250010127004042,4700,1
250010127004043,4700,1
250010127004044,4700,1
250010127004045,4700,1
250010127004046,4700,1
250010127004047,4700,1
250010127004048,4700,1
250010127004049,4700,1
250010127004050,4700,1
250010127004051,4700,1
250010127004052,4700,1
250010127004053,4700,1
250010127004054,4700,1
250010127004055,4700,1
250010127004056,4700,1
250010127004057,4700,1
250010127004058,4700,1
250010127004059,4700,1
250010127004060,4700,1
250010127004061,4700,1
250010127004062,4700,1
250010127004063,4700,1
250010127004064,4700,1
250010127004065,4700,1
250010127004066,4700,1
250010127004067,4700,1
250010127004068,4700,1
250010127004069,4700,1
250010127004070,4700,1
250010127004071,4700,1
250010127004072,4700,1
250010127004073,4700,1
250010127004074,4700,1
250010127004075,4700,1
250010128001000,4635,1
250010128001001,4635,1
250010128001002,4635,1
250010128001003,4635,1
250010127003048,4704,1
250010127003049,4704,1
250010127003050,4704,1
250010127003051,4704,1
250010127003052,4704,1
250010127003053,4704,1
250010127003054,4704,1
250010127003055,4704,1
250010127003056,4704,1
250010127003057,4704,1
250010127003058,4704,1
250010127003059,4704,1
250010127003060,4704,1
250010127003061,4693,1
250010127003062,4704,1
250010127003063,4704,1
250010127004000,4700,1
250010127004001,4700,1
250010127004002,4700,1
250010127004003,4700,1
250010127004004,4700,1
250010127004005,4700,1
250010127004006,4700,1
250010127004007,4700,1
250010128001004,4635,1
250010128001005,4635,1
250010128001006,4635,1
250010128001007,4635,1
250010128001008,4635,1
250010128001009,4635,1
250010128001010,4635,1
250010128001011,4635,1
250010128001012,4635,1
250010128001013,4635,1
250010128001014,4635,1
250010128001015,4635,1
250010128001016,4635,1
250010128001017,4635,1
250010128001018,4635,1
250010128001019,4635,1
250010128001020,4635,1
250010128001021,4635,1
250010128001022,4635,1
250010128001023,4635,1
250010128001024,4635,1
250010128001025,4635,1
250010128001026,4635,1
250010128001027,4635,1
250010128001028,4635,1
250010128001029,4635,1
250010128001030,4635,1
250010128001031,4635,1
250010128001032,4635,1
250010128001033,4635,1
250010128001034,4635,1
250010128001035,4635,1
250010128001036,4635,1
250010128001037,4635,1
250010128001038,4635,1
250010128001039,4635,1
250010128001040,4635,1
250010128001041,4635,1
250010128001042,4635,1
250010128001043,4635,1
250010128001044,4635,1
250010128001045,4635,1
250010128001046,4635,1
250010128001047,4635,1
250010128001048,4635,1
250010128001049,4635,1
250010128001050,4635,1
250010128002000,4633,1
250010128002001,4633,1
250010128002002,4633,1
250010128002003,4633,1
250010128002004,4633,1
250010128002005,4633,1
250010128002006,4633,1
250010128002007,4633,1
250010128002008,4633,1
250010128002009,4633,1
250010128002010,4633,1
250010128002011,4633,1
250010128002012,4633,1
250010128002013,4633,1
250010128002014,4633,1
250010128002015,4633,1
250010128002016,4633,1
250010128002017,4633,1
250010128002018,4633,1
250010128002019,4633,1
250010128002020,4633,1
250010128002021,4633,1
250010128002022,4633,1
250010128002023,4633,1
250010128002024,4633,1
250010128002025,4633,1
250010128002026,4633,1
250010128002027,4633,1
250010128002028,4633,1
250010128002029,4633,1
250010128002030,4633,1
250010128002031,4633,1
250010128002032,4633,1
250010128002033,4633,1
250010128002034,4633,1
250010128002035,4633,1
250010128002036,4633,1
250010128002037,4633,1
250010128002038,4633,1
250010128002039,4633,1
250010128002040,4633,1
250010128003000,4620,1
250010128003001,4620,1
250010128003002,4620,1
250010128003003,4620,1
250010128003004,4620,1
250010128003005,4620,1
250010128003006,4620,1
250010128003007,4620,1
250010128003008,4620,1
250010128003009,4620,1
250010128003010,4620,1
250010128003011,4620,1
250010128003012,4620,1
250010128003013,4620,1
250010128003014,4620,1
250010128003015,4620,1
250010128003016,4620,1
250010128003017,4620,1
250010128003018,4620,1
250010128003019,4620,1
250010128003020,4620,1
250010128003021,4620,1
250010128003022,4620,1
250010128003023,4620,1
250010128003024,4620,1
250010128003025,4620,1
250010128003026,4620,1
250010128003027,4620,1
250010128003028,4620,1
250010128003029,4620,1
250010128003030,4620,1
250010128003031,4620,1
250010128003032,4620,1
250010128003033,4620,1
250010128003034,4620,1
250010128003035,4620,1
250010128003036,4620,1
250010128003037,4620,1
250010128003038,4620,1
250010128003039,4620,1
250010128003040,4620,1
250010128003041,4620,1
250010128003042,4620,1
250010128003043,4620,1
250010128003044,4620,1
250010128003045,4620,1
250010129001000,4640,1
250010129001001,4640,1
250010129001002,4640,1
250010129001003,4640,1
250010129001004,4640,1
250010129001005,4640,1
