ID,n,TAZ_nonmin,TAZ_tot,TAZ_nonmin_moe,TAZ_tot_moe,min_pct,min_pct_moe,combined_moe_pct
1,5,1087.7677086611238,1675.359288076886,197.22386434047962,240.887796146108,0.35072571214873427,0.07171488126636251,35.1% ± 7.2%
2,2,483.7006213444475,744.4330919372919,90.73042866986884,110.78457939611422,0.3502429881432615,0.0741918663033149,35.0% ± 7.4%
3,3,479.30264319349527,691.8432474772067,108.38391031889692,140.19581012677844,0.30720919089510046,0.06952337520629419,30.7% ± 7.0%
4,6,420.96825550381686,634.1824904008092,61.32647011437767,75.72507520870958,0.3362032823741933,0.05539735057154959,33.6% ± 5.5%
5,6,1948.5914819062955,2365.8885590188866,321.9522955990073,396.3354332314925,0.17638069871120243,0.19379023665525547,17.6% ± 19.4%
6,5,1653.2590707399097,2011.7527147975647,406.11688129431855,358.55536137357024,0.17819965715504404,0.1389207837383405,17.8% ± 13.9%
7,2,972.81773532953,1114.471053306515,135.73052990955068,153.00532462531166,0.1271036314103582,0.02170419158396374,12.7% ± 2.2%
8,3,890.6800290156483,1015.4609176513517,98.93483848225,115.8613660520113,0.12288103507154935,0.13966998057689237,12.3% ± 14.0%
9,3,442.7202291978081,507.1746139921986,61.586561747833215,69.42486887167766,0.12708519515013017,0.021626196934268163,12.7% ± 2.2%
10,4,1227.8857554032152,1401.06426285793,155.24506863533264,181.99239759092563,0.12360497091079925,0.15886260962907175,12.4% ± 15.9%
11,4,1349.448129589993,1541.7123629175035,171.17347345898395,200.68358023071843,0.12470823867798131,0.15908703230944812,12.5% ± 15.9%
12,4,735.5723366312358,835.5911562614677,206.94593527946037,212.72916863219154,0.11969827454580517,0.10541063049296602,12.0% ± 10.5%
13,3,678.1042377143771,774.9341494904234,187.07789426193906,192.3197262815988,0.12495243865523176,0.10544483405019944,12.5% ± 10.5%
14,2,82.10012024580745,116.18904716031136,16.3783294012717,19.167201238223708,0.2933919138476956,0.07926446249012926,29.3% ± 7.9%
15,1,81.51893979354551,115.39694074670729,16.28362248195127,19.056375536153496,0.29357798165137616,0.07939215786394398,29.4% ± 7.9%
16,1,24.070499876188393,34.07382450005889,4.808145615342517,5.626870100927157,0.29357798165137605,0.0793921578639439,29.4% ± 7.9%
17,2,81.34368252048236,115.1965900002938,16.245980752326986,19.012327190631204,0.2938707428729018,0.0794173168759347,29.4% ± 7.9%
18,1,58.520738929303874,82.84104601680679,11.689671412594404,13.680172736720387,0.29357798165137616,0.07939215786394392,29.4% ± 7.9%
19,1,254.8006926211863,360.6918895546663,50.897108049872095,59.56379827508251,0.29357798165137616,0.07939215786394396,29.4% ± 7.9%
20,6,392.76341808717603,847.6364487199505,79.96387334396911,225.26088707483538,0.5366369406597561,0.15512223187635638,53.7% ± 15.5%
21,6,1074.774461755283,1668.3075687326868,156.65823851413364,203.37015808110377,0.35576959434900557,0.05148050198862575,35.6% ± 5.1%
22,3,439.91675203095156,691.3407684209889,102.07877963442719,142.42603370389293,0.36367595818815324,0.06794446258132177,36.4% ± 6.8%
23,1,215.40269081515743,338.51100486762596,49.98050115423571,69.73680544529053,0.36367595818815335,0.067937653290609,36.4% ± 6.8%
24,2,260.9691263766914,410.07989605100477,60.26833115236937,84.09106685816118,0.36361394720936846,0.06760028919152855,36.4% ± 6.8%
25,6,1723.1793410205294,2014.3053701289568,181.09566728403453,189.03115027547497,0.14452924240071374,0.04046993407543899,14.5% ± 4.0%
26,6,1332.2985637426525,1520.8313874770615,195.4942307126497,189.13370818482065,0.12396694682056109,0.06822441106924343,12.4% ± 6.8%
27,4,1536.002737346114,1795.1542543959115,204.76118751796824,215.76025485136236,0.14436169839733626,0.0493403783874006,14.4% ± 4.9%
28,3,1903.1319039665273,2166.322073775523,287.63157106008555,278.25228055707714,0.12149170845602897,0.06997283368651679,12.1% ± 7.0%
29,4,298.4601482644961,432.27665118448783,64.37709823126409,83.27149522664325,0.30956218096286037,0.06700185581122797,31.0% ± 6.7%
30,6,363.785719592546,464.97864902594284,59.294594682499046,54.47918458304425,0.21762919576066586,0.08865045662432823,21.8% ± 8.9%
31,4,381.2884482957528,485.5300479181211,62.442386019084104,57.3661524297217,0.21469649524131496,0.08905411474990375,21.5% ± 8.9%
32,2,206.40005638479585,306.49530321461145,50.300723719185136,57.75823216982861,0.3265800349303486,0.10406400578381061,32.7% ± 10.4%
33,2,90.24372810423577,133.9260018545549,22.091831648951743,25.36665870333658,0.32616723523008295,0.1045039421164814,32.6% ± 10.5%
34,3,49.302126884596916,74.54634487144426,9.212715779840282,10.58409991678215,0.33863790411697836,0.08034723095601763,33.9% ± 8.0%
35,2,123.9939791646088,189.7205619457518,27.707765585948806,31.860782266434992,0.34643889996455246,0.09634731504712886,34.6% ± 9.6%
36,1,296.32508264174356,440.1757729148872,73.0262432764173,83.85174165156458,0.32680283451438097,0.10525098973876237,32.7% ± 10.5%
37,1,152.46161987411682,226.47394803591718,37.572584959689465,43.14239026778414,0.32680283451438097,0.10525098973876233,32.7% ± 10.5%
38,1,55.71676749007023,82.76441189391858,13.73081948052505,15.76629272010037,0.3268028345143811,0.10525098973876237,32.7% ± 10.5%
39,1,202.02217823438926,300.0936257487925,49.78627054940367,57.16664733939064,0.32680283451438097,0.10525098973876233,32.7% ± 10.5%
40,3,228.46729477420163,444.17966346986174,49.03180680565065,64.89503309615952,0.48564215437183456,0.08085865203104395,48.6% ± 8.1%
41,2,107.53850380252518,166.39040093154887,23.14337031731404,26.652860311737367,0.35369767005510544,0.09288983216216426,35.4% ± 9.3%
