ID,n,TAZ_pop_dec
1,5,1591.7125076902148
2,2,707.4884188002991
3,3,1042.5076824892033
4,6,698.07258875600985
5,6,2477.3251298215737
6,5,2139.9259772609566
7,2,1340.030514555175
8,3,1113.398860531626
9,3,609.6210116743007
10,4,1509.7165501741322
11,4,1657.5050995624958
12,4,747.5871627520872
13,3,704.8786434378546
14,2,145.23143349547632
15,1,144.28398620230504
16,1,42.60344504987704
17,2,144.05044665825397
18,1,103.57845072088293
19,1,450.9830440827676
20,6,1009.9135470704251
21,6,1582.0705955008466
22,3,653.0589592816264
23,1,319.3444410031698
24,2,386.87419390518863
25,6,2291.07589917376
26,6,1550.062314892696
27,4,2124.022879269342
28,3,2207.050074992825
29,4,638.876170705764
30,6,633.8670102423658
31,4,661.8115163580562
32,2,238.08123829528475
33,2,103.40076228828487
34,3,68.81481685274971
35,2,158.99977119434018
36,1,338.34269497917967
37,1,174.080016747908
38,1,63.61716362333716
39,1,230.6680474701014
40,3,591.0223711707081
41,2,143.71731096325976
42,1,26.15915815162058
43,1,31.18719576649475
44,1,42.90789890856494
45,2,75.29737925460121
46,2,86.41374369504324
47,1,610.7362335718511
48,3,72.08573307940296
49,2,28.070832650316884
50,2,205.55469105908261
51,3,585.400806271718
52,3,146.95914655171302
53,2,116.56574192597735
54,2,40.78472620247179
55,1,58.532180541997505
56,1,45.17784954066106
57,1,81.83052587223132
58,1,42.81103993709218
59,1,54.72406724029695
60,1,39.86954654648024
61,3,402.6936225954379
62,3,952.9914090515414
63,2,122.83468597549137
64,1,63.50574005096577
65,2,117.5114568029413
66,1,127.640892700379
67,1,72.91904112362835
68,1,74.97918913882349
69,5,441.17601453149075
70,3,84.06729313136935
71,9,22.976659193801527
72,3,350.34366090141395
73,1,195.56178774965383
74,4,859.8866882124427
75,3,696.8382161205025
76,4,697.6267483606196
77,3,1251.4533802122246
78,3,717.3649651195783
79,2,849.1583426101791
80,2,1049.4491020765333
81,2,1213.1296012536336
82,2,1019.4446132791078
83,5,1994.3591629522657
84,4,1753.1033547374552
85,4,1745.4011503107556
86,5,1778.452462591465
87,2,509.6375742858053
88,2,338.80026249842393
89,2,136.90995045872413
90,1,138.24944260956661
91,2,346.54931275427174
92,4,1912.3585166389062
93,3,409.07027690373764
94,2,547.2003911703817
95,3,439.1211808736711
96,1,136.3594046492662
97,1,151.72346632043238
98,2,185.4435921614609
99,2,142.71075178255205
100,2,230.7417178232684
101,1,453.28793130969643
102,4,568.7525572961418
103,3,431.4089402857842
104,2,401.84468047819814
105,2,618.2213611674744
106,4,1540.4883294636993
107,7,2107.9294884114784
108,3,565.6853018078966
109,4,1834.4533713476085
110,5,1616.1385364984924
111,2,517.0691072076374
112,4,1606.424545384616
113,4,648.9936746925856
114,4,1803.1132462167345
115,5,1607.9131671944588
116,6,2586.837809923686
117,4,1519.6592885928362
118,4,742.8252372454508
119,5,1950.7377895997417
120,4,1780.5922999641398
121,1,1030.8026788668656
122,6,2481.293200212972
123,5,2334.2053257841385
124,3,1139.7083003384823
125,3,658.3738128873674
126,2,727.4580600687799
127,2,566.9339433591666
128,3,792.7693786137078
129,3,1479.7920659486385
130,7,734.4414136392328
131,5,658.3158795893772
132,3,543.1655435077363
133,2,1894.6575259941476
134,3,1702.9872301356252
135,2,1115.634226755874
136,2,818.5092643037249
137,3,271.27600903652905
138,2,622.7968686753998
139,1,755.5826013953123
140,3,627.5142847499776
141,2,0.9842233064459931
142,2,45.99663798104489
143,2,53.94918698441378
144,2,157.87911332028156
