ID,n,TAZ_non_lowinc,TAZ_tot,TAZ_non_lowinc_moe,TAZ_tot_moe,lowinc_pct,lowinc_pct_moe,combined_moe_pct
1,5,1201.9757983720503,1424.5755577846014,242.10778167754955,240.8839341303713,0.15625689925406439,0.09235019866669364,15.6% ± 9.2%
2,2,533.1622686862521,630.5305586767658,111.36868047616832,110.78457939611422,0.15442279307580464,0.09552227720839306,15.4% ± 9.6%
3,3,536.2991280168931,669.4154289590861,123.48511048209632,140.19580716857536,0.19885454559836402,0.07665908815893244,19.9% ± 7.7%
4,6,465.69805100138757,559.9719406158879,74.26205352716615,75.72507493196454,0.1683546670406605,0.07028051053375459,16.8% ± 7.0%
5,6,1808.626093964836,2354.6712167869396,244.7255566689734,396.21268145162406,0.23189866972901974,0.1658503518865288,23.2% ± 16.6%
6,5,1764.2760420793113,2003.6295173321712,358.0853724267091,358.5509107410135,0.11945994665299131,0.08432625826903518,11.9% ± 8.4%
7,2,934.813187006284,1093.2477340842943,143.62757892246998,151.52462793538928,0.14492099287149696,0.05669445827266258,14.5% ± 5.7%
8,3,867.1561696243097,995.7421226304662,113.21866071114019,112.30008318509131,0.12913579739548342,0.05728770007902294,12.9% ± 5.7%
9,3,425.44758772059794,497.5172687374881,65.16981686579122,68.75300489324351,0.14485865224291805,0.05650959255548859,14.5% ± 5.7%
10,4,1197.5531754502729,1369.9306967341759,178.05921004249004,176.283069804424,0.1258293734820598,0.06511759315710829,12.6% ± 6.5%
11,4,1311.935620366516,1503.5101173987464,196.31854102687012,194.38282148294178,0.1274181628811898,0.06574758249692891,12.7% ± 6.6%
12,4,734.9585210751652,829.7572370896065,214.2873778248028,212.72536038821576,0.11424873659065637,0.1230002933128015,11.4% ± 12.3%
13,3,681.4420343959782,772.313726118522,193.72342909948415,192.31885316714292,0.11766162978773509,0.12100743130439845,11.8% ± 12.1%
14,2,88.84467481486735,116.18904716031136,17.08822557872723,19.167201238223708,0.2353438040309921,0.07562106487784363,23.5% ± 7.6%
15,1,88.22396081552544,115.39694074670729,16.989414168475474,19.056375536153496,0.23547400611620795,0.07573564177302718,23.5% ± 7.6%
16,1,26.050324541329427,34.07382450005889,5.016548211673153,5.626870100927157,0.23547400611620795,0.07573564177302716,23.5% ± 7.6%
17,2,88.05380718953705,115.19446556902246,16.950142653364715,19.012327029344306,0.2356073119087757,0.07573004337839347,23.6% ± 7.6%
18,1,63.33413304037216,82.84104601680679,12.196344476917382,13.680172736720387,0.23547400611620795,0.07573564177302716,23.5% ± 7.6%
19,1,275.7583253476042,360.6918895546663,53.103174652652925,59.56379827508251,0.23547400611620795,0.07573564177302715,23.5% ± 7.6%
20,6,548.441208442126,844.8128830433338,195.09684318581475,225.25508260316505,0.3508133937701867,0.1528699074614022,35.1% ± 15.3%
21,6,1219.5841024926535,1478.8576502876024,196.06141661213675,202.7359619355649,0.17532015183782312,0.06924615591696635,17.5% ± 6.9%
22,3,519.7100027415622,650.9924831560008,130.9842105534543,141.52273053645754,0.20166512488436628,0.10179954753039623,20.2% ± 10.2%
23,1,254.4729940773181,318.7547005765711,64.13427139260334,69.29450012534154,0.20166512488436628,0.10179642400639216,20.2% ± 10.2%
24,2,308.2070196548163,385.96739310929553,77.33542098043614,83.5577257227549,0.20146876353479837,0.10130184077890299,20.1% ± 10.1%
25,6,1728.507080176959,2008.6683605550713,187.62622165201,189.02405115718085,0.13947612551665478,0.046556685184628084,13.9% ± 4.7%
26,6,1398.0878296332492,1511.9924509106243,192.3142253768765,189.12906751385952,0.07533412035805731,0.052915809197052556,7.5% ± 5.3%
27,4,1508.5245418396607,1793.7977177716964,213.5579187396755,215.75962414289972,0.15903307998764193,0.0627850108131046,15.9% ± 6.3%
28,3,2000.5919926498714,2160.069213568526,282.9419256218988,278.25228055707714,0.07382968097359777,0.054072267720994174,7.4% ± 5.4%
29,4,333.5878215375098,416.2468698744329,73.35674720407756,83.27100392637169,0.19858178960446826,0.07317197054368588,19.9% ± 7.3%
30,6,403.6384908227568,464.217290145601,53.03097044039861,54.479040502105015,0.13049664587857934,0.05135747217863112,13.0% ± 5.1%
31,4,423.13807834999704,485.4813565089571,55.843501557892495,57.36615152194127,0.12841539087569442,0.051228927863928936,12.8% ± 5.1%
32,2,136.0306515470276,208.96100438028085,34.75886344705061,53.588121019907156,0.349014176350961,0.23566983177726644,34.9% ± 23.6%
33,2,59.281945064354005,91.13045108916471,15.264561226435593,23.534955359101733,0.34948258945464006,0.2372360842507738,34.9% ± 23.7%
34,3,36.2493196611556,53.45373088520056,6.4360665690599905,9.788197819881317,0.32185613500007804,0.1729668734919116,32.2% ± 17.3%
35,2,83.07413220166235,129.03970735566025,19.200462277306283,29.50624648036649,0.3562126425729347,0.021670072318414817,35.6% ± 2.2%
36,1,193.7580726128057,298.7103619447421,50.45783140958481,77.79680188241441,0.3513513513513513,0.23889916530480457,35.1% ± 23.9%
37,1,99.69007466691477,153.6888651114936,25.960956944509054,40.02707543444305,0.3513513513513514,0.2388991653048045,35.1% ± 23.9%
38,1,36.431521033754905,56.16526159370547,9.487375269207005,14.62780768779553,0.3513513513513513,0.23889916530480457,35.1% ± 23.9%
39,1,132.0962354275635,203.64836295082705,34.400061309261325,53.038639982279285,0.3513513513513513,0.23889916530480454,35.1% ± 23.9%
40,3,187.30168484569836,307.0188154868105,43.74406373166358,49.832979088879895,0.3899341818881299,0.10244685001028962,39.0% ± 10.2%
41,2,72.71649909564277,113.26630220824191,16.087011094645728,24.635249637809665,0.3580041223385899,0.02597311650655479,35.8% ± 2.6%
